time	I(CL)+I(RL)
0.000000000000000e+00	-4.872244e-03
9.999999960041972e-13	-4.008545e-04
1.173475702323131e-12	-4.214889e-05
1.520427114960998e-12	-4.082209e-05
2.214329940236733e-12	-4.661558e-05
3.602135590788203e-12	-5.855742e-05
6.377746891891143e-12	-8.377052e-05
1.192896949409702e-11	-1.389446e-04
2.303141469850878e-11	-2.586066e-04
2.521810568505954e-11	-2.839382e-04
2.959148765816107e-11	-3.379385e-04
3.833825160436412e-11	-4.515174e-04
5.373679019630922e-11	-6.636484e-04
7.843453657982434e-11	-1.019133e-03
1.081551384305511e-10	-1.450282e-03
1.395641026951086e-10	-1.888790e-03
1.745586510117671e-10	-2.335723e-03
2.183352191058073e-10	-2.819480e-03
2.751754085686198e-10	-3.324491e-03
3.536185101357151e-10	-3.878763e-03
3.656731082129071e-10	-3.946588e-03
3.897823043672912e-10	-4.054981e-03
4.380006966760593e-10	-4.229901e-03
5.344374812935955e-10	-4.477192e-03
6.422590271789406e-10	-4.648427e-03
7.495125604581569e-10	-4.739299e-03
8.636248880234530e-10	-4.786226e-03
9.859596344396605e-10	-4.807004e-03
1.134603854659310e-09	-4.812402e-03
1.315023602153952e-09	-4.806496e-03
1.556586139102952e-09	-4.791341e-03
1.598476350961017e-09	-4.788266e-03
1.682256774677147e-09	-4.781772e-03
1.849817622109406e-09	-4.768708e-03
1.891707833967471e-09	-4.765433e-03
1.975488257683601e-09	-4.758888e-03
2.143049105115859e-09	-4.745872e-03
2.478170799980378e-09	-4.720170e-03
3.148414189709414e-09	-4.669834e-03
4.488900969167487e-09	-4.571608e-03
7.169874528083634e-09	-4.379231e-03
1.253182164591593e-08	-4.001633e-03
1.900861931523835e-08	-3.559095e-03
2.635072841566100e-08	-3.093306e-03
4.103494661650631e-08	-2.302978e-03
6.430661020584454e-08	-1.376381e-03
8.896538011874186e-08	-7.616080e-04
1.039344050269696e-07	-5.703268e-04
1.137306488950734e-07	-9.090357e-05
1.187291307435626e-07	1.010456e-03
1.233231480414399e-07	2.730012e-03
1.260540824258776e-07	3.633102e-03
1.293966279451284e-07	4.327807e-03
1.327028072956006e-07	4.579328e-03
1.359752435424578e-07	4.309986e-03
1.408777695016137e-07	3.239444e-03
1.459209804608463e-07	1.741065e-03
1.491575293893714e-07	7.214147e-04
1.532277365846491e-07	-4.560679e-04
1.578890508374350e-07	-1.547751e-03
1.627237242787273e-07	-2.223887e-03
1.697392431030094e-07	-2.403961e-03
1.769294985336050e-07	-1.877021e-03
1.816181977786107e-07	-1.223633e-03
1.857240015222146e-07	-5.519525e-04
1.898979481090840e-07	9.533818e-05
1.940760478246612e-07	6.653108e-04
1.947912301993717e-07	7.484427e-04
1.949700257930493e-07	7.669834e-04
1.953276169804045e-07	8.028186e-04
1.960427993551150e-07	8.694525e-04
1.974731641045360e-07	9.815653e-04
2.003338936033778e-07	1.122356e-03
2.060553526010616e-07	1.174488e-03
2.119980950405782e-07	9.848025e-04
2.171769829281583e-07	6.599148e-04
2.217887575967172e-07	3.166812e-04
2.258992169896032e-07	2.929637e-05
2.300478180857251e-07	-1.988984e-04
2.341770037280334e-07	-3.381277e-04
2.385955101690073e-07	-3.722390e-04
2.446676639895605e-07	-2.665927e-04
2.498078868486281e-07	-8.668118e-05
2.503792467137146e-07	-6.049954e-05
2.515219664438878e-07	-2.960121e-06
2.518076463764311e-07	1.167029e-05
2.523790062415177e-07	4.143442e-05
2.535217259716909e-07	1.016136e-04
2.558071654320373e-07	2.209243e-04
2.603780443527300e-07	4.380388e-04
2.677617676978784e-07	7.012476e-04
2.761974519325656e-07	8.356313e-04
2.890876538897742e-07	8.077257e-04
2.975252851815378e-07	7.285797e-04
