time	I(CL)+I(RL)
0.000000000000000e+00	-4.872244e-03
9.999999960041972e-13	-8.772245e-03
1.001704094103604e-12	-8.595551e-03
1.005112290302418e-12	-7.975504e-03
1.011928682700047e-12	-7.034483e-03
1.013632780799454e-12	-6.853957e-03
1.017040976998268e-12	-6.566509e-03
1.023857369395896e-12	-6.062972e-03
1.037490154191152e-12	-5.257835e-03
1.064755723781665e-12	-4.164315e-03
1.119286862962691e-12	-3.038487e-03
1.228349141324742e-12	-2.272808e-03
1.408488468614840e-12	-2.041262e-03
1.628857017481099e-12	-2.028684e-03
1.970871685018746e-12	-2.024092e-03
2.654901020094040e-12	-2.012206e-03
2.825908353862864e-12	-2.009295e-03
3.167923021400511e-12	-2.003422e-03
3.851952356475806e-12	-1.991956e-03
5.220011026626394e-12	-1.969366e-03
5.562025694164041e-12	-1.963804e-03
6.246055029239335e-12	-1.952880e-03
7.614113699389925e-12	-1.931544e-03
1.035023103969110e-11	-1.890957e-03
1.582246572029346e-11	-1.817754e-03
2.676693508149817e-11	-1.700429e-03
4.865587380390759e-11	-1.521112e-03
5.123879409577448e-11	-1.506016e-03
5.640463467950828e-11	-1.486597e-03
6.673631584697589e-11	-1.462779e-03
8.253163426060746e-11	-1.463672e-03
1.141222710878706e-10	-1.565227e-03
1.674145142921478e-10	-1.895095e-03
2.176916519240747e-10	-2.309656e-03
2.790990675295644e-10	-2.858049e-03
3.466225713602888e-10	-3.408356e-03
4.370054992026057e-10	-3.996622e-03
5.311759162585827e-10	-4.413870e-03
6.593083917031646e-10	-4.747952e-03
7.380689480065795e-10	-4.855545e-03
8.131025353737513e-10	-4.899386e-03
9.041851534748732e-10	-4.920374e-03
1.003025734301749e-09	-4.925084e-03
1.112369918276870e-09	-4.922033e-03
1.240376053740891e-09	-4.917682e-03
1.410909451600751e-09	-4.916021e-03
1.666773658471684e-09	-4.920319e-03
2.178502072213551e-09	-4.935915e-03
2.640544817475248e-09	-4.951446e-03
3.427884921311753e-09	-4.978869e-03
