time	I(CL)+I(RL)
0.000000000000000e+00	-4.872244e-03
9.999999960041972e-13	-4.468657e-04
1.178567070652359e-12	-7.191694e-05
1.535701219948682e-12	-5.388138e-05
2.249969518541328e-12	-5.965225e-05
3.678506115726620e-12	-7.159451e-05
6.535579310097205e-12	-9.690103e-05
1.224972569883838e-11	-1.526127e-04
2.367801847632072e-11	-2.788542e-04
4.140622751034591e-11	-4.945470e-04
4.385214460167327e-11	-5.265373e-04
4.874397878432800e-11	-5.937790e-04
5.852764714963746e-11	-7.315578e-04
7.307103237931670e-11	-9.413919e-04
1.021578028386752e-10	-1.363472e-03
1.334754243347888e-10	-1.803740e-03
1.694579195196797e-10	-2.271515e-03
2.103886550143132e-10	-2.736680e-03
2.656799764862758e-10	-3.249587e-03
3.385309929960978e-10	-3.755466e-03
4.323990836936813e-10	-4.182140e-03
5.808717733537367e-10	-4.577693e-03
6.800523514643529e-10	-4.721571e-03
7.769442815123076e-10	-4.791473e-03
8.847730343217843e-10	-4.834491e-03
1.014864913839690e-09	-4.861926e-03
1.165574492273939e-09	-4.877369e-03
1.352120368461958e-09	-4.885818e-03
1.589282664389612e-09	-4.890953e-03
1.631057772514065e-09	-4.891511e-03
1.714607988762970e-09	-4.892370e-03
1.881708421260781e-09	-4.894027e-03
2.215909286256402e-09	-4.897321e-03
2.299459502505308e-09	-4.898169e-03
2.466559935003119e-09	-4.899944e-03
2.800760799998740e-09	-4.903619e-03
2.884311016247645e-09	-4.904570e-03
3.051411448745456e-09	-4.906538e-03
3.385612313741077e-09	-4.910555e-03
3.469162529989983e-09	-4.911579e-03
3.636262962487794e-09	-4.913669e-03
3.970463827483415e-09	-4.917920e-03
4.638865557474658e-09	-4.926573e-03
5.975669017457143e-09	-4.943793e-03
8.649275937422115e-09	-4.976499e-03
1.279470593399233e-08	-5.023945e-03
1.334703397851386e-08	-5.029824e-03
1.445169006755691e-08	-5.040765e-03
1.666100224564303e-08	-5.061028e-03
2.107962660181525e-08	-5.095345e-03
2.991687531415970e-08	-5.141707e-03
4.759137273884859e-08	-5.163565e-03
8.188605397000522e-08	-5.053689e-03
1.130298989335190e-07	-4.822957e-03
1.593146620899725e-07	-4.331315e-03
1.851039928128446e-07	-2.991761e-03
1.995883315190726e-07	-5.806017e-04
2.000326195907443e-07	-4.164583e-04
2.009211957340875e-07	2.368170e-05
2.026983480207741e-07	8.788407e-04
2.047146542094525e-07	1.779222e-03
2.087472665868093e-07	3.381713e-03
2.168124913415229e-07	5.974213e-03
2.262688653080122e-07	7.792611e-03
2.368787451296655e-07	8.269366e-03
2.474381636934754e-07	7.538012e-03
2.585053039038235e-07	6.083171e-03
2.709321661294031e-07	4.247217e-03
2.724193122326961e-07	4.035556e-03
2.727910987585193e-07	3.985653e-03
2.735346718101658e-07	3.889612e-03
2.750218179134588e-07	3.707360e-03
2.779961101200447e-07	3.382948e-03
2.839446945332166e-07	2.902914e-03
2.958418633595604e-07	2.476642e-03
3.113933296467689e-07	2.722073e-03
3.269925613959411e-07	3.636074e-03
3.449948302169469e-07	5.025020e-03
3.628691018015337e-07	6.261716e-03
3.866529681065140e-07	7.384010e-03
4.195726104169135e-07	8.327494e-03
4.581364893645876e-07	9.220898e-03
4.966047245163412e-07	1.019189e-02
5.626186148961576e-07	1.180983e-02
6.383483153088531e-07	1.301846e-02
7.030022577847932e-07	1.327644e-02
7.715408749182937e-07	1.335457e-02
8.414581286835271e-07	1.389071e-02
9.281432123428830e-07	1.458096e-02
9.750647403478709e-07	1.438126e-02
1.028011134111612e-06	1.378456e-02
1.080774850073068e-06	1.337827e-02
1.167602035066985e-06	1.298479e-02
1.256121785873047e-06	1.280369e-02
1.356121785873047e-06	1.279572e-02
1.456121785873047e-06	1.291393e-02
1.556121785873047e-06	1.311323e-02
1.656121785873046e-06	1.336128e-02
1.756121785873046e-06	1.363898e-02
1.856121785873046e-06	1.393441e-02
1.956121785873046e-06	1.424076e-02
2.056121785873046e-06	1.455354e-02
2.156121785873046e-06	1.487038e-02
2.256121785873046e-06	1.518953e-02
2.356121785873046e-06	1.551023e-02
2.456121785873046e-06	1.583172e-02
2.556121785873045e-06	1.615383e-02
2.656121785873045e-06	1.647620e-02
2.756121785873045e-06	1.679884e-02
2.856121785873045e-06	1.712153e-02
2.956121785873045e-06	1.744436e-02
3.056121785873045e-06	1.776718e-02
3.156121785873045e-06	1.809006e-02
3.256121785873045e-06	1.841288e-02
3.356121785873045e-06	1.873565e-02
3.456121785873044e-06	1.905807e-02
3.556121785873044e-06	1.937955e-02
3.656121785873044e-06	1.969803e-02
3.756121785873044e-06	2.000956e-02
3.825043984330000e-06	2.021442e-02
3.886357578913835e-06	2.038082e-02
3.944256912489724e-06	2.053581e-02
