CL,OS_rise_pct,US_fall_pct,ts_rise_us,ts_fall_us,t_rise_us,t_fall_us
10n,4.73872,0.467519999999997,NaN,7.7501991751969,13.0646848957715,1022.21324620154
50n,4.862,0.655719999999995,NaN,9.691661896285,13.166715566867,1020.29052483432
500n,9.08616,6.60772,NaN,11.0975516483208,13.6832839390112,1020.49871581228
2u,2.0866,6.52284,NaN,22.6056702841021,15.0887473392343,1020.68947461739
10u,1.87291999999999,2.67424,NaN,101.185522310199,16.5266647529799,1020.62396334781
