Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
1.26191468896039e+02	(9.57281961760408e+01dB,-8.99407984589520e+01°)
1.58865646944856e+02	(9.37281979522517e+01dB,-8.99534991047837e+01°)
2.00000000000000e+02	(9.17281990721983e+01dB,-8.99637234104259e+01°)
2.51785082358834e+02	(8.97281997776232e+01dB,-8.99720158591722e+01°)
3.16978638492223e+02	(8.77282002207884e+01dB,-8.99788180524097e+01°)
3.99052462993776e+02	(8.57282004973544e+01dB,-8.99844922302137e+01°)
5.02377286301916e+02	(8.37282006670189e+01dB,-8.99893405626226e+01°)
6.32455532033676e+02	(8.17282007664009e+01dB,-8.99936212412310e+01°)
7.96214341106995e+02	(7.97282008169574e+01dB,-8.99975622278009e+01°)
1.00237446725455e+03	(7.77282008295925e+01dB,-9.00013733940563e+01°)
1.26191468896039e+03	(7.57282008070426e+01dB,-9.00052576986828e+01°)
1.58865646944856e+03	(7.37282007444330e+01dB,-9.00094219946869e+01°)
2.00000000000000e+03	(7.17282006282524e+01dB,-9.00140880463165e+01°)
2.51785082358834e+03	(6.97282004334224e+01dB,-9.00195043372987e+01°)
3.16978638492223e+03	(6.77282001178925e+01dB,-9.00259593048990e+01°)
3.99052462993776e+03	(6.57281996135499e+01dB,-9.00337966988850e+01°)
5.02377286301917e+03	(6.37281988115368e+01dB,-9.00434338880416e+01°)
6.32455532033677e+03	(6.17281975387372e+01dB,-9.00553840853766e+01°)
7.96214341106996e+03	(5.97281955204203e+01dB,-9.00702836778360e+01°)
1.00237446725455e+04	(5.77281923209353e+01dB,-9.00889261137075e+01°)
1.26191468896039e+04	(5.57281872496882e+01dB,-9.01123041520494e+01°)
1.58865646944857e+04	(5.37281792120862e+01dB,-9.01416627214718e+01°)
2.00000000000000e+04	(5.17281664732987e+01dB,-9.01785651986885e+01°)
2.51785082358834e+04	(4.97281462838932e+01dB,-9.02249766271416e+01°)
3.16978638492223e+04	(4.77281142865698e+01dB,-9.02833682894339e+01°)
3.99052462993777e+04	(4.57280635761853e+01dB,-9.03568491654976e+01°)
5.02377286301917e+04	(4.37279832106330e+01dB,-9.04493312051093e+01°)
6.32455532033677e+04	(4.17278558523953e+01dB,-9.05657370711622e+01°)
7.96214341106996e+04	(3.97276540347906e+01dB,-9.07122611292188e+01°)
1.00237446725455e+05	(3.77273342547185e+01dB,-9.08966970104792e+01°)
1.26191468896039e+05	(3.57268276361295e+01dB,-9.11288480591851e+01°)
1.58865646944857e+05	(3.37260251969489e+01dB,-9.14210402861142e+01°)
2.00000000000000e+05	(3.17247546580484e+01dB,-9.17887607572088e+01°)
2.51785082358834e+05	(2.97227440788308e+01dB,-9.22514468882451e+01°)
3.16978638492223e+05	(2.77195651721326e+01dB,-9.28334523597355e+01°)
3.99052462993777e+05	(2.57145457149298e+01dB,-9.35652105714703e+01°)
5.02377286301917e+05	(2.37066359055838e+01dB,-9.44846024756341e+01°)
6.32455532033677e+05	(2.16942078855986e+01dB,-9.56385069398910e+01°)
7.96214341106997e+05	(1.96747610274390e+01dB,-9.70844635814113e+01°)
1.00237446725455e+06	(1.76444968864840e+01dB,-9.88923038737923e+01°)
1.26191468896039e+06	(1.55977127587919e+01dB,-1.01145473281243e+02°)
1.58865646944857e+06	(1.35259393659573e+01dB,-1.03941439623506e+02°)
2.00000000000001e+06	(1.14167479177625e+01dB,-1.07389775733958e+02°)
2.51785082358834e+06	(9.25229204294691e+00dB,-1.11605126506772e+02°)
3.16978638492224e+06	(7.00809552439151e+00dB,-1.16691324726823e+02°)
3.99052462993777e+06	(4.65333657802129e+00dB,-1.22714842815651e+02°)
5.02377286301918e+06	(2.15450219481578e+00dB,-1.29673026926650e+02°)
6.32455532033678e+06	(-5.16055643975083e-01dB,-1.37474898132806e+02°)
7.96214341106997e+06	(-3.36725058007020e+00dB,-1.45962254313713e+02°)
1.00237446725455e+07	(-6.37552928179907e+00dB,-1.54992006776048e+02°)
1.26191468896039e+07	(-9.47316229577341e+00dB,-1.64577023761935e+02°)
1.58865646944857e+07	(-1.25342639980087e+01dB,-1.75080221987837e+02°)
2.00000000000000e+07	(-1.53448410692168e+01dB,1.72460271689139e+02°)
Step Information: Cl=2n  (Step: 4/15)
2.00000000000000e+01	(1.11728009300008e+02dB,-8.96195275797836e+01°)
2.51785082358833e+01	(1.09728080041741e+02dB,-8.96978631918067e+01°)
3.16978638492223e+01	(1.07728124677331e+02dB,-8.97601101628558e+01°)
3.99052462993776e+01	(1.05728152840692e+02dB,-8.98095827491356e+01°)
5.02377286301916e+01	(1.03728170610620e+02dB,-8.98489152367680e+01°)
6.32455532033676e+01	(1.01728181822650e+02dB,-8.98802020616630e+01°)
7.96214341106995e+01	(9.97281888968623e+01dB,-8.99051092943142e+01°)
1.00237446725454e+02	(9.77281933602090e+01dB,-8.99249632862819e+01°)
1.26191468896039e+02	(9.57281961761046e+01dB,-8.99408213229871e+01°)
1.58865646944856e+02	(9.37281979523497e+01dB,-8.99535278860165e+01°)
2.00000000000000e+02	(9.17281990723563e+01dB,-8.99637596461803e+01°)
2.51785082358834e+02	(8.97281997778726e+01dB,-8.99720614780167e+01°)
3.16978638492223e+02	(8.77282002211840e+01dB,-8.99788754817578e+01°)
3.99052462993776e+02	(8.57282004979845e+01dB,-8.99845645287968e+01°)
5.02377286301916e+02	(8.37282006680142e+01dB,-8.99894315818330e+01°)
6.32455532033676e+02	(8.17282007679781e+01dB,-8.99937358267753e+01°)
7.96214341106995e+02	(7.97282008194549e+01dB,-8.99977064825541e+01°)
1.00237446725455e+03	(7.77282008335524e+01dB,-9.00015550004460e+01°)
1.26191468896039e+03	(7.57282008133160e+01dB,-9.00054863271669e+01°)
1.58865646944856e+03	(7.37282007543782e+01dB,-9.00097098210449e+01°)
2.00000000000000e+03	(7.17282006440146e+01dB,-9.00144503981904e+01°)
2.51785082358834e+03	(6.97282004584056e+01dB,-9.00199605113028e+01°)
3.16978638492223e+03	(6.77282001574850e+01dB,-9.00265335938988e+01°)
3.99052462993776e+03	(6.57281996762994e+01dB,-9.00345196859299e+01°)
5.02377286301917e+03	(6.37281989109896e+01dB,-9.00443440748310e+01°)
6.32455532033677e+03	(6.17281976963583e+01dB,-9.00565299426643e+01°)
7.96214341106996e+03	(5.97281957702338e+01dB,-9.00717262268507e+01°)
1.00237446725455e+04	(5.77281927168628e+01dB,-9.00907421755670e+01°)
1.26191468896039e+04	(5.57281878771897e+01dB,-9.01145904389361e+01°)
1.58865646944857e+04	(5.37281802066077e+01dB,-9.01445409870875e+01°)
2.00000000000000e+04	(5.17281680495120e+01dB,-9.01821887222921e+01°)
2.51785082358834e+04	(4.97281487820223e+01dB,-9.02295383768710e+01°)
3.16978638492223e+04	(4.77281182458381e+01dB,-9.02891111996187e+01°)
3.99052462993777e+04	(4.57280698512055e+01dB,-9.03640790760939e+01°)
5.02377286301917e+04	(4.37279931558764e+01dB,-9.04584331532726e+01°)
6.32455532033677e+04	(4.17278716145610e+01dB,-9.05771958048282e+01°)
7.96214341106996e+04	(3.97276790161821e+01dB,-9.07266869395843e+01°)
1.00237446725455e+05	(3.77273738476615e+01dB,-9.09148582678973e+01°)
1.26191468896039e+05	(3.57268903869810e+01dB,-9.11517122028594e+01°)
1.58865646944857e+05	(3.37261246510132e+01dB,-9.14498254857808e+01°)
2.00000000000000e+05	(3.17249122837929e+01dB,-9.18250010684665e+01°)
2.51785082358834e+05	(2.97229939030079e+01dB,-9.22970745120657e+01°)
3.16978638492223e+05	(2.77199611273394e+01dB,-9.28909016676321e+01°)
3.99052462993777e+05	(2.57151732881902e+01dB,-9.36375499967886e+01°)
5.02377286301917e+05	(2.37076306088597e+01dB,-9.45757024144380e+01°)
6.32455532033677e+05	(2.16957845515643e+01dB,-9.57532548400027e+01°)
7.96214341106997e+05	(1.96772602953897e+01dB,-9.72290421472223e+01°)
1.00237446725455e+06	(1.76484590163001e+01dB,-9.90745561576974e+01°)
1.26191468896039e+06	(1.56039949668566e+01dB,-1.01375392067620e+02°)
1.58865646944857e+06	(1.35359026662960e+01dB,-1.04231843310208e+02°)
2.00000000000001e+06	(1.14325554481044e+01dB,-1.07757279780938e+02°)
2.51785082358834e+06	(9.27738741989276e+00dB,-1.12071611065041e+02°)
3.16978638492224e+06	(7.04797492798117e+00dB,-1.17286283556608e+02°)
3.99052462993777e+06	(4.71680753868035e+00dB,-1.23479383242823e+02°)
5.02377286301918e+06	(2.25576713287756e+00dB,-1.30667126664204e+02°)
6.32455532033678e+06	(-3.53874316119978e-01dB,-1.38791445921136e+02°)
7.96214341106997e+06	(-3.10596498414197e+00dB,-1.47756162791777e+02°)
1.00237446725455e+07	(-5.95077812159822e+00dB,-1.57545753927210e+02°)
1.26191468896039e+07	(-8.77376110823636e+00dB,-1.68464930475152e+02°)
1.58865646944857e+07	(-1.13658906815376e+01dB,1.78355570742341e+02°)
2.00000000000000e+07	(-1.34098855673824e+01dB,1.59472163010363e+02°)
Step Information: Cl=5n  (Step: 5/15)
2.00000000000000e+01	(1.11728009300008e+02dB,-8.96195384471546e+01°)
2.51785082358833e+01	(1.09728080041736e+02dB,-8.96978768655803e+01°)
3.16978638492223e+01	(1.07728124677343e+02dB,-8.97601273942009e+01°)
3.99052462993776e+01	(1.05728152840707e+02dB,-8.98096044369809e+01°)
5.02377286301916e+01	(1.03728170610648e+02dB,-8.98489425423788e+01°)
6.32455532033676e+01	(1.01728181822693e+02dB,-8.98802364394340e+01°)
7.96214341106995e+01	(9.97281888969304e+01dB,-8.99051525707052e+01°)
1.00237446725454e+02	(9.77281933603175e+01dB,-8.99250177679716e+01°)
1.26191468896039e+02	(9.57281961762746e+01dB,-8.99408899097745e+01°)
1.58865646944856e+02	(9.37281979526238e+01dB,-8.99536142351463e+01°)
2.00000000000000e+02	(9.17281990727872e+01dB,-8.99638683520056e+01°)
2.51785082358834e+02	(8.97281997785541e+01dB,-8.99721983292194e+01°)
3.16978638492223e+02	(8.77282002222671e+01dB,-8.99790477688949e+01°)
3.99052462993776e+02	(8.57282004996999e+01dB,-8.99847814250270e+01°)
5.02377286301916e+02	(8.37282006707354e+01dB,-8.99897046375561e+01°)
6.32455532033676e+02	(8.17282007722921e+01dB,-8.99940795840151e+01°)
7.96214341106995e+02	(7.97282008262889e+01dB,-8.99981392474163e+01°)
1.00237446725455e+03	(7.77282008443850e+01dB,-9.00020998187551e+01°)
1.26191468896039e+03	(7.57282008304869e+01dB,-9.00061722129244e+01°)
1.58865646944856e+03	(7.37282007815910e+01dB,-9.00105732998799e+01°)
2.00000000000000e+03	(7.17282006871444e+01dB,-9.00155374537199e+01°)
2.51785082358834e+03	(6.97282005267613e+01dB,-9.00213290331698e+01°)
3.16978638492223e+03	(6.77282002658243e+01dB,-9.00282564609419e+01°)
3.99052462993776e+03	(6.57281998480082e+01dB,-9.00366886471383e+01°)
5.02377286301917e+03	(6.37281991831296e+01dB,-9.00470746353448e+01°)
6.32455532033677e+03	(6.17281981276694e+01dB,-9.00599675150049e+01°)
7.96214341106996e+03	(5.97281964538137e+01dB,-9.00760538746435e+01°)
1.00237446725455e+04	(5.77281938002651e+01dB,-9.00961903626026e+01°)
1.26191468896039e+04	(5.57281895942694e+01dB,-9.01214493025736e+01°)
1.58865646944857e+04	(5.37281829279961e+01dB,-9.01531757898356e+01°)
2.00000000000000e+04	(5.17281723626224e+01dB,-9.01930593049091e+01°)
2.51785082358834e+04	(4.97281556178437e+01dB,-9.02432236495814e+01°)
3.16978638492223e+04	(4.77281290798901e+01dB,-9.03063399771058e+01°)
3.99052462993777e+04	(4.57280870220315e+01dB,-9.03857689015076e+01°)
5.02377286301917e+04	(4.37280203698295e+01dB,-9.04857391845345e+01°)
6.32455532033677e+04	(4.17279147458384e+01dB,-9.06115723784707e+01°)
7.96214341106996e+04	(3.97277473748224e+01dB,-9.07699651141996e+01°)
1.00237446725455e+05	(3.77274821892371e+01dB,-9.09693435236957e+01°)
1.26191468896039e+05	(3.57270620978911e+01dB,-9.12203075940376e+01°)
1.58865646944857e+05	(3.37263967971890e+01dB,-9.15361869913020e+01°)
2.00000000000000e+05	(3.17253436132539e+01dB,-9.19337337880754e+01°)
2.51785082358834e+05	(2.97236775313135e+01dB,-9.24339809018008e+01°)
3.16978638492223e+05	(2.77210446483354e+01dB,-9.30632965241418e+01°)
3.99052462993777e+05	(2.57168906616124e+01dB,-9.38546619403665e+01°)
5.02377286301917e+05	(2.37103527344765e+01dB,-9.48491891993110e+01°)
6.32455532033677e+05	(2.17000995134032e+01dB,-9.60978718350570e+01°)
7.96214341106997e+05	(1.96841007651309e+01dB,-9.76635234365448e+01°)
1.00237446725455e+06	(1.76593047379740e+01dB,-9.96228031024606e+01°)
1.26191468896039e+06	(1.56211950863286e+01dB,-1.02068129292083e+02°)
1.58865646944857e+06	(1.35631901232372e+01dB,-1.05109026539625e+02°)
2.00000000000001e+06	(1.14758710488171e+01dB,-1.08871786081793e+02°)
2.51785082358834e+06	(9.34620779374646e+00dB,-1.13495245511926e+02°)
3.16978638492224e+06	(7.15747105834682e+00dB,-1.19120206724077e+02°)
3.99052462993777e+06	(4.89139597898450e+00dB,-1.25873452480784e+02°)
5.02377286301918e+06	(2.53504037229589e+00dB,-1.33858324947801e+02°)
6.32455532033678e+06	(9.48778183831877e-02dB,-1.43186259738078e+02°)
7.96214341106997e+06	(-2.38105723707124e+00dB,-1.54123943967858e+02°)
1.00237446725455e+07	(-4.77807457661057e+00dB,-1.67526267099554e+02°)
1.26191468896039e+07	(-6.93150090671533e+00dB,1.73938338904401e+02°)
1.58865646944857e+07	(-9.09569948366687e+00dB,1.42850540924853e+02°)
2.00000000000000e+07	(-1.40497456941825e+01dB,9.52942299715880e+01°)
Step Information: Cl=10n  (Step: 6/15)
2.00000000000000e+01	(1.11728009300010e+02dB,-8.96195565626352e+01°)
2.51785082358833e+01	(1.09728080041751e+02dB,-8.96978996818564e+01°)
3.16978638492223e+01	(1.07728124677354e+02dB,-8.97601561040358e+01°)
3.99052462993776e+01	(1.05728152840728e+02dB,-8.98096405857924e+01°)
5.02377286301916e+01	(1.03728170610681e+02dB,-8.98489880523663e+01°)
6.32455532033676e+01	(1.01728181822752e+02dB,-8.98802937347085e+01°)
7.96214341106995e+01	(9.97281888970221e+01dB,-8.99052246968196e+01°)
1.00237446725454e+02	(9.77281933604601e+01dB,-8.99251085727010e+01°)
1.26191468896039e+02	(9.57281961765039e+01dB,-8.99410042253922e+01°)
1.58865646944856e+02	(9.37281979529882e+01dB,-8.99537581485525e+01°)
2.00000000000000e+02	(9.17281990733674e+01dB,-8.99640495283815e+01°)
2.51785082358834e+02	(8.97281997794764e+01dB,-8.99724264173501e+01°)
3.16978638492223e+02	(8.77282002237260e+01dB,-8.99793349126115e+01°)
3.99052462993776e+02	(8.57282005020093e+01dB,-8.99851429184242e+01°)
5.02377286301916e+02	(8.37282006743949e+01dB,-8.99901597307468e+01°)
6.32455532033676e+02	(8.17282007780933e+01dB,-8.99946525127996e+01°)
7.96214341106995e+02	(7.97282008354860e+01dB,-8.99988605216664e+01°)
1.00237446725455e+03	(7.77282008589625e+01dB,-9.00030078491769e+01°)
1.26191468896039e+03	(7.57282008535903e+01dB,-9.00073153558063e+01°)
1.58865646944856e+03	(7.37282008182068e+01dB,-9.00120124315584e+01°)
2.00000000000000e+03	(7.17282007451775e+01dB,-9.00173492129606e+01°)
2.51785082358834e+03	(6.97282006187391e+01dB,-9.00236099031031e+01°)
3.16978638492223e+03	(6.77282004115999e+01dB,-9.00311279061422e+01°)
3.99052462993776e+03	(6.57282000790456e+01dB,-9.00403035826977e+01°)
5.02377286301917e+03	(6.37281995492980e+01dB,-9.00516255700280e+01°)
6.32455532033677e+03	(6.17281987080111e+01dB,-9.00656968033156e+01°)
7.96214341106996e+03	(5.97281973735939e+01dB,-9.00832666230667e+01°)
1.00237446725455e+04	(5.77281952580202e+01dB,-9.01052706785738e+01°)
1.26191468896039e+04	(5.57281919046551e+01dB,-9.01328807504118e+01°)
1.58865646944857e+04	(5.37281865897082e+01dB,-9.01675671446084e+01°)
2.00000000000000e+04	(5.17281781660471e+01dB,-9.02111769762801e+01°)
2.51785082358834e+04	(4.97281648156530e+01dB,-9.02660325045928e+01°)
3.16978638492223e+04	(4.77281436574361e+01dB,-9.03350547402521e+01°)
3.99052462993777e+04	(4.57281101258856e+01dB,-9.04219188779139e+01°)
5.02377286301917e+04	(4.37280569869712e+01dB,-9.05312497701374e+01°)
6.32455532033677e+04	(4.17279727800986e+01dB,-9.06688677323517e+01°)
7.96214341106996e+04	(3.97278393529293e+01dB,-9.08420975291751e+01°)
1.00237446725455e+05	(3.77276279647194e+01dB,-9.10601565213020e+01°)
1.26191468896039e+05	(3.57272931364764e+01dB,-9.13346417021347e+01°)
1.58865646944857e+05	(3.37267629687074e+01dB,-9.16801397070983e+01°)
2.00000000000000e+05	(3.17259239560893e+01dB,-9.21149886573280e+01°)
2.51785082358834e+05	(2.97245973129269e+01dB,-9.26622254088442e+01°)
3.16978638492223e+05	(2.77225024043967e+01dB,-9.33507553815852e+01°)
3.99052462993777e+05	(2.57192010501097e+01dB,-9.42167828428314e+01°)
5.02377286301917e+05	(2.37140144544932e+01dB,-9.53055348987447e+01°)
6.32455532033677e+05	(2.17059029467236e+01dB,-9.66733007982539e+01°)
7.96214341106997e+05	(1.96932985651595e+01dB,-9.83897918077489e+01°)
