time	V(vout)
0.000000000000000e+00	-7.671557e-04
9.999999960041972e-13	-5.712947e-04
1.019247371891987e-12	-5.731234e-04
1.057742123667567e-12	-5.855347e-04
1.134731627218726e-12	-6.022471e-04
1.288710634321044e-12	-6.255698e-04
1.510829790449567e-12	-6.546063e-04
1.909585024648846e-12	-7.054187e-04
2.707095493047404e-12	-8.063821e-04
3.707693137507241e-12	-9.316222e-04
5.697159846791591e-12	-1.175699e-03
9.676093265360289e-12	-1.645337e-03
1.763396010249769e-11	-2.513903e-03
3.354969377677248e-11	-4.023951e-03
5.716022044366810e-11	-5.827032e-03
8.327296223907456e-11	-7.271388e-03
1.137666856413630e-10	-8.269207e-03
1.626175174914903e-10	-8.831058e-03
2.210703226085549e-10	-8.497302e-03
2.823002989117786e-10	-7.432715e-03
3.574976776997782e-10	-5.773797e-03
4.399791560989501e-10	-4.050927e-03
5.343436286350442e-10	-2.527747e-03
6.447115745497173e-10	-1.260387e-03
6.542047577119210e-10	-1.185084e-03
6.731911240363283e-10	-1.079348e-03
7.111638566851429e-10	-9.174605e-04
7.871093219827720e-10	-7.178093e-04
8.727641350878517e-10	-6.223526e-04
9.633659462748809e-10	-6.193750e-04
1.060121188368019e-09	-6.629397e-04
1.176128093399064e-09	-7.226847e-04
1.323400106256345e-09	-7.744266e-04
1.551885154269983e-09	-8.081936e-04
1.821147779168710e-09	-8.156259e-04
2.159872318529712e-09	-8.150402e-04
2.562280649101554e-09	-8.176893e-04
3.367097310245238e-09	-8.256821e-04
4.496889095357081e-09	-8.358488e-04
6.756472665580765e-09	-8.555041e-04
1.127563980602813e-08	-8.943814e-04
1.678634026002329e-08	-9.417842e-04
2.302447425992062e-08	-9.955647e-04
3.550074225971528e-08	-1.103711e-03
6.045327825930459e-08	-1.322492e-03
9.262713480130779e-08	-1.608588e-03
1.281906818853687e-07	-1.925050e-03
1.797724526892093e-07	-2.359939e-03
2.409081032742014e-07	-2.794487e-03
2.968886515409761e-07	-2.849421e-03
3.227280732140274e-07	-2.104399e-03
3.395870751835807e-07	-1.106246e-03
3.452914238957132e-07	-8.209182e-04
3.492598491759014e-07	-6.189595e-04
