time	V(vout)
0.000000000000000e+00	-7.671557e-04
9.999999960041972e-13	-1.000328e-03
1.285406038246126e-12	-1.063129e-03
1.856218122729984e-12	-1.181884e-03
2.997842291697700e-12	-1.414691e-03
5.281090629633131e-12	-1.866581e-03
8.137983347126983e-12	-2.403210e-03
1.385176878211469e-11	-3.376773e-03
2.527933965209010e-11	-4.989789e-03
4.813448139204091e-11	-7.390435e-03
6.950340252844191e-11	-8.799803e-03
9.865397967291246e-11	-9.663304e-03
1.320396438991425e-10	-9.774831e-03
1.675735073440647e-10	-9.241887e-03
2.111764799588829e-10	-8.180157e-03
2.178970333186780e-10	-7.991424e-03
2.313381400382683e-10	-7.596524e-03
2.582203534774489e-10	-6.831415e-03
3.119847803558101e-10	-5.486893e-03
4.195136341125324e-10	-3.244876e-03
4.357940745269776e-10	-2.980317e-03
4.683549553558679e-10	-2.592363e-03
5.334767170136485e-10	-2.002526e-03
6.228994899118737e-10	-1.415417e-03
6.345518448681593e-10	-1.361100e-03
6.578565547807303e-10	-1.282944e-03
7.044659746058725e-10	-1.162977e-03
7.976848142561568e-10	-1.009297e-03
9.155520651003694e-10	-9.080522e-04
1.039001171655976e-09	-8.672464e-04
1.183705747081735e-09	-8.567329e-04
1.373508154857217e-09	-8.618971e-04
1.654798082186081e-09	-8.787341e-04
2.100583602944041e-09	-9.086232e-04
2.963426029742494e-09	-9.670186e-04
4.689110883339403e-09	-1.083813e-03
8.140480590533219e-09	-1.319074e-03
1.374321789088095e-08	-1.707260e-03
2.166072589139766e-08	-2.267895e-03
3.070916413116120e-08	-2.926128e-03
4.880604061068828e-08	-4.282726e-03
8.282639668498780e-08	-6.889353e-03
1.144709372900898e-07	-9.312618e-03
1.612802172720443e-07	-1.259400e-02
1.802383073948599e-07	-1.312498e-02
1.927431726818483e-07	-1.267364e-02
1.934806172912890e-07	-1.267391e-02
1.949555065101703e-07	-1.268840e-02
1.970803220605709e-07	-1.257644e-02
1.994096379758459e-07	-1.244136e-02
2.033362991812766e-07	-1.221753e-02
2.102815091158894e-07	-1.181485e-02
2.178718699779374e-07	-1.138436e-02
2.280681641174947e-07	-1.083147e-02
2.401253250312083e-07	-1.020815e-02
2.543335917721135e-07	-9.483295e-03
2.691523476293961e-07	-8.668852e-03
2.985209469174016e-07	-6.758902e-03
3.305638614727794e-07	-4.125665e-03
3.678747969571882e-07	-1.629684e-04
4.150567620366392e-07	6.236889e-03
4.858078621484719e-07	1.824395e-02
5.858078621484719e-07	3.845360e-02
6.609926475467036e-07	5.539418e-02
7.258172203276147e-07	7.049852e-02
7.878259523051445e-07	8.485261e-02
8.532981563949023e-07	1.002113e-01
9.271608137518485e-07	1.178916e-01
9.709564689413987e-07	1.281804e-01
1.020685635980187e-06	1.392583e-01
1.071825717132775e-06	1.499421e-01
1.160196021819888e-06	1.672627e-01
1.254128694445827e-06	1.846547e-01
1.354128694445827e-06	2.022925e-01
1.454128694445827e-06	2.193439e-01
1.554128694445827e-06	2.360135e-01
1.654128694445827e-06	2.524419e-01
1.754128694445827e-06	2.687177e-01
1.854128694445827e-06	2.848971e-01
1.954128694445827e-06	3.010152e-01
2.054128694445827e-06	3.170948e-01
2.154128694445826e-06	3.331498e-01
2.254128694445826e-06	3.491892e-01
2.354128694445826e-06	3.652188e-01
2.454128694445826e-06	3.812422e-01
2.554128694445826e-06	3.972616e-01
2.654128694445826e-06	4.132785e-01
2.754128694445826e-06	4.292938e-01
2.854128694445826e-06	4.453081e-01
2.954128694445826e-06	4.613217e-01
3.054128694445825e-06	4.773350e-01
3.154128694445825e-06	4.933479e-01
3.254128694445825e-06	5.093607e-01
3.354128694445825e-06	5.253732e-01
3.454128694445825e-06	5.413851e-01
3.554128694445825e-06	5.573955e-01
3.654128694445825e-06	5.734011e-01
3.754128694445825e-06	5.893925e-01
3.854128694445825e-06	6.053529e-01
3.922049671333458e-06	6.161510e-01
3.982099291972897e-06	6.256664e-01
4.011594965053586e-06	6.303647e-01
4.023354947780116e-06	6.322542e-01
4.035056984097182e-06	6.341373e-01
4.035634311293012e-06	6.342311e-01
4.036788965684673e-06	6.344193e-01
4.039098274467993e-06	6.347920e-01
4.043716892034634e-06	6.355362e-01
4.052954127167916e-06	6.370248e-01
4.071428597434480e-06	6.400005e-01
4.108377537967607e-06	6.459470e-01
4.182275419033862e-06	6.578301e-01
4.217372053688345e-06	6.634694e-01
4.236482769424565e-06	6.665383e-01
4.245426980264240e-06	6.679742e-01
4.251256180493343e-06	6.689098e-01
4.257482441470886e-06	6.699091e-01
4.264142336489096e-06	6.709777e-01
4.277462126525516e-06	6.731141e-01
4.304101706598354e-06	6.773798e-01
4.357380866744032e-06	6.858782e-01
4.393975240807474e-06	6.916699e-01
4.423460970942226e-06	6.960398e-01
4.446613690955755e-06	6.986772e-01
4.460664732594631e-06	6.963383e-01
4.468373830035973e-06	6.936845e-01
4.471523111904978e-06	6.936409e-01
4.473600049756474e-06	6.923646e-01
4.474708663397227e-06	6.918659e-01
4.475652771259512e-06	6.918064e-01
4.476685072022516e-06	6.912362e-01
4.477728518505335e-06	6.908429e-01
4.478777394614464e-06	6.903978e-01
4.479749325279721e-06	6.899920e-01
4.480776843851005e-06	6.895698e-01
4.481838695152808e-06	6.891071e-01
4.483022165069253e-06	6.886068e-01
4.484404679754974e-06	6.879904e-01
4.486072869880048e-06	6.872492e-01
4.488199799641018e-06	6.862668e-01
4.490971875425045e-06	6.849569e-01
4.494704640211254e-06	6.831160e-01
4.499826422704088e-06	6.804681e-01
4.506949378330507e-06	6.765448e-01
4.516975074488526e-06	6.705762e-01
4.531116801693333e-06	6.613050e-01
4.551151994721080e-06	6.465721e-01
4.579006035870992e-06	6.231482e-01
4.618540409375187e-06	5.847525e-01
4.664823216448310e-06	5.336469e-01
4.695479726580392e-06	4.956788e-01
4.733876747405375e-06	4.433301e-01
4.770630104105702e-06	3.891779e-01
4.806810771225664e-06	3.317899e-01
4.851007833760082e-06	2.568765e-01
4.891858773453059e-06	1.826485e-01
4.955034481028483e-06	6.013389e-02
5.000000000032756e-06	-3.339460e-02
5.089931038041302e-06	-2.309565e-01
5.153674338623425e-06	-3.694929e-01
5.194271531738480e-06	-4.486756e-01
5.240291763840032e-06	-5.242240e-01
5.282515616510239e-06	-5.820687e-01
5.333804375287480e-06	-6.411448e-01
5.365127410132934e-06	-6.721699e-01
5.389654326989575e-06	-6.936947e-01
5.401821098366940e-06	-7.036278e-01
5.401949184568519e-06	-7.037701e-01
5.402205356971677e-06	-7.041070e-01
5.402717701777994e-06	-7.046200e-01
5.403490157129172e-06	-7.052006e-01
5.404447989854180e-06	-7.058929e-01
5.405457153409869e-06	-7.066543e-01
5.406606477030309e-06	-7.075396e-01
5.408291847387087e-06	-7.088448e-01
5.410712075547163e-06	-7.107049e-01
5.415552531867313e-06	-7.143664e-01
5.425123477029864e-06	-7.213812e-01
5.444265367354967e-06	-7.345831e-01
5.482549148005172e-06	-7.586750e-01
5.526021346613634e-06	-7.834301e-01
5.545291813441416e-06	-7.933862e-01
5.562736061430680e-06	-8.017396e-01
5.577347790901994e-06	-8.083942e-01
5.592879626907414e-06	-8.151153e-01
5.616071258751292e-06	-8.246381e-01
5.637663755462816e-06	-8.329210e-01
5.680848748885862e-06	-8.478550e-01
5.767218735731955e-06	-8.739950e-01
5.867218735731955e-06	-8.999750e-01
5.967218735731955e-06	-9.227394e-01
5.999999999999999e-06	-9.294862e-01
6.099999999999999e-06	-9.485563e-01
6.199999999999999e-06	-9.666719e-01
6.299999999999999e-06	-9.839996e-01
6.362321059139020e-06	-9.945069e-01
6.421490701907880e-06	-1.004314e+00
6.480453965483290e-06	-1.013976e+00
6.580453965483290e-06	-1.030210e+00
6.680453965483289e-06	-1.046323e+00
6.780453965483289e-06	-1.062343e+00
6.880453965483289e-06	-1.078306e+00
6.980453965483289e-06	-1.094231e+00
7.080453965483289e-06	-1.110133e+00
7.180453965483289e-06	-1.126021e+00
7.280453965483289e-06	-1.141899e+00
7.380453965483289e-06	-1.157771e+00
7.480453965483289e-06	-1.173639e+00
7.580453965483288e-06	-1.189505e+00
7.680453965483288e-06	-1.205370e+00
7.780453965483289e-06	-1.221233e+00
7.880453965483290e-06	-1.237096e+00
7.980453965483291e-06	-1.252959e+00
8.080453965483291e-06	-1.268821e+00
8.180453965483292e-06	-1.284684e+00
8.280453965483293e-06	-1.300546e+00
8.380453965483294e-06	-1.316408e+00
8.480453965483294e-06	-1.332270e+00
8.580453965483295e-06	-1.348132e+00
8.680453965483296e-06	-1.363994e+00
8.780453965483296e-06	-1.379856e+00
8.880453965483297e-06	-1.395718e+00
8.980453965483298e-06	-1.411580e+00
9.080453965483299e-06	-1.427442e+00
9.180453965483299e-06	-1.443304e+00
9.280453965483300e-06	-1.459166e+00
9.380453965483301e-06	-1.475028e+00
9.480453965483302e-06	-1.490890e+00
9.580453965483302e-06	-1.506752e+00
9.680453965483303e-06	-1.522614e+00
9.780453965483304e-06	-1.538476e+00
9.880453965483305e-06	-1.554338e+00
9.980453965483305e-06	-1.570199e+00
1.006923591244042e-05	-1.584278e+00
1.016052008798558e-05	-1.598753e+00
1.022560777265741e-05	-1.609075e+00
1.029830850273597e-05	-1.620605e+00
1.036345257848801e-05	-1.630937e+00
1.043631257035672e-05	-1.642493e+00
1.053631257035673e-05	-1.658355e+00
1.063631257035673e-05	-1.674216e+00
1.073631257035673e-05	-1.690078e+00
1.083631257035673e-05	-1.705940e+00
1.093631257035673e-05	-1.721802e+00
1.103631257035673e-05	-1.737664e+00
1.110468261896176e-05	-1.748509e+00
1.115451210307542e-05	-1.756413e+00
1.120930579504230e-05	-1.765104e+00
1.124904835754248e-05	-1.771408e+00
1.128886050449763e-05	-1.777723e+00
1.133962873417328e-05	-1.785776e+00
1.140020344988245e-05	-1.795384e+00
1.145841427247625e-05	-1.804618e+00
1.150816470636405e-05	-1.812509e+00
1.157029894646323e-05	-1.822365e+00
1.165231240703919e-05	-1.835374e+00
1.173578590082023e-05	-1.848615e+00
1.177241915982321e-05	-1.854426e+00
1.180738511068698e-05	-1.859972e+00
1.184685543368240e-05	-1.866233e+00
1.190757044128350e-05	-1.875864e+00
1.200757044128350e-05	-1.891726e+00
1.210591724458192e-05	-1.907326e+00
1.214867955646818e-05	-1.914109e+00
1.215887802762052e-05	-1.915726e+00
1.216361314871414e-05	-1.916477e+00
1.216986992360602e-05	-1.917470e+00
1.218238347338980e-05	-1.919455e+00
1.220741057295735e-05	-1.923425e+00
1.225746477209245e-05	-1.931289e+00
1.232505960218051e-05	-1.941577e+00
1.239539099089089e-05	-1.951675e+00
1.249539099089090e-05	-1.965114e+00
1.256030599005193e-05	-1.973370e+00
1.259417477041980e-05	-1.976474e+00
1.261160593325960e-05	-1.975348e+00
1.262663401366966e-05	-1.971238e+00
1.263564913720937e-05	-1.967382e+00
